POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2615,18196,19104,37301,9210,6653,15867,2510,4584,7091,628,852,1480,560,455,1014,12912,12543,25454,4684,6024,10704,4.3,3.6,4,71,65.7,68.2,67.9,63.3,65.5,1628,1625,3246,528,907,1432,3094,4159,7257,1708,2251,3959,3711,2097,5812,217,285,504,259,464,719,4187,2846,7033,19457,20053,39508,2890,2874,5762,13363,13822,27184,7610,7859,15474
POA2617,16114,16413,32527,7796,5755,13547,2768,4213,6980,527,663,1191,573,477,1048,11666,11103,22771,3826,4711,8533,4.9,4.3,4.6,72.4,67.6,70,68.9,64.7,66.8,2622,2383,5003,597,866,1463,3940,4525,8466,1225,1561,2788,2006,1228,3232,140,153,292,165,292,457,2312,1667,3977,13920,13987,27910,4213,4194,8408,7846,7998,15844,9498,9403,18901
POA2618,549,592,1140,280,181,455,75,179,250,14,28,44,14,13,19,375,394,775,150,175,320,3.7,2.3,3,68.8,67,67.9,66.2,65.5,65.8,38,57,98,14,22,39,90,129,218,52,69,126,149,48,198,0,3,5,6,14,18,158,66,225,558,584,1142,88,100,186,411,439,853,206,219,425
POA2900,1794,1932,3720,966,798,1763,234,352,584,48,79,125,49,38,91,1296,1263,2559,405,578,977,3.8,3,3.4,72.4,65.5,68.8,69.6,63.6,66.5,196,193,386,56,90,145,399,465,867,180,234,406,289,221,507,23,22,51,23,43,65,335,286,619,1185,1219,2406,724,814,1542,422,459,875,1371,1494,2869
POA2902,6256,6465,12729,2780,2031,4803,934,1482,2420,198,262,458,203,137,334,4110,3907,8019,1916,2347,4262,4.9,3.5,4.2,65.6,60.5,63,62.4,58.4,60.4,531,478,1003,188,351,543,1117,1432,2551,580,787,1372,1209,635,1837,59,99,163,112,160,273,1382,896,2276,6513,6737,13250,874,805,1675,4735,4966,9697,2294,2244,4538
POA2903,3822,3868,7688,1780,1257,3043,544,876,1421,137,162,303,140,70,218,2616,2370,4981,1078,1377,2454,5.5,3.1,4.3,68.3,61.3,64.8,64.6,59.4,62,360,289,650,115,199,312,722,907,1622,351,453,802,734,364,1091,38,56,95,54,104,162,821,521,1347,4105,4068,8170,522,475,996,2971,3004,5977,1417,1326,2740
POA2904,5098,5566,10667,2515,1771,4285,698,1265,1964,160,233,389,108,110,221,3481,3379,6857,1483,2000,3478,3.2,3.3,3.2,68.3,60.7,64.3,66.1,58.7,62.2,525,413,939,195,283,484,962,1264,2217,537,718,1257,975,498,1471,40,67,105,81,141,219,1090,699,1792,5575,5824,11402,601,669,1274,3918,4203,8123,1900,1982,3874
POA2905,11220,11769,22996,5940,4357,10291,1477,2797,4273,395,559,953,325,251,578,8137,7957,16095,2738,3489,6223,4,3.1,3.6,72.5,67.6,70,69.6,65.5,67.5,656,612,1266,235,473,709,1506,2145,3655,1156,1472,2630,2634,1488,4117,135,190,322,179,312,488,2950,1987,4931,12031,12483,24513,1498,1506,3006,8624,8997,17622,4110,4279,8384
POA2906,7016,7462,14472,3945,2964,6907,911,1791,2698,250,354,607,187,152,337,5290,5258,10549,1515,1993,3510,3.5,2.9,3.2,75.4,70.5,72.9,72.8,68.4,70.5,396,337,737,168,266,432,921,1308,2226,712,986,1704,1657,1011,2672,63,120,181,109,195,305,1832,1322,3151,7544,7860,15409,950,1015,1967,5369,5547,10913,2672,2861,5534
POA2911,1743,1865,3612,1112,796,1913,216,430,648,51,97,147,36,41,78,1423,1370,2785,287,451,740,2.7,2.9,2.8,81.3,73.3,77.2,79.1,71.1,75,381,303,684,49,106,155,432,537,964,182,202,382,198,148,350,16,15,34,25,25,47,239,195,432,1853,1938,3789,410,436,842,1067,1104,2171,1015,1075,2090
POA2912,3634,3589,7224,2001,1424,3426,671,899,1570,97,132,235,131,123,252,2904,2580,5486,575,877,1454,4.5,4.8,4.6,79.9,71.9,75.9,76.3,68.4,72.4,652,560,1220,93,135,232,779,977,1758,343,380,723,423,265,681,23,39,66,32,47,78,474,353,823,2776,2793,5564,1348,1260,2610,1162,1214,2384,2718,2616,5333
POA2913,15178,15740,30911,8663,6216,14874,2242,3913,6152,486,706,1188,466,383,851,11852,11216,23066,2814,4060,6872,3.9,3.4,3.7,78.1,71.3,74.6,75,68.8,71.9,2332,1940,4272,457,746,1200,3159,3955,7117,1509,1773,3279,2202,1452,3660,126,179,303,170,333,494,2497,1962,4456,15497,15823,31317,3214,3167,6385,9022,9253,18276,8398,8539,16936
POA2914,12628,12821,25448,7716,5478,13190,1796,3294,5091,435,543,975,389,369,763,10335,9685,20019,1831,2698,4533,3.8,3.8,3.8,81.8,75.5,78.7,78.7,72.7,75.7,2320,1821,4143,395,537,931,2679,3496,6178,1284,1404,2692,1558,1083,2636,113,136,243,135,201,341,1806,1418,3222,13506,13710,27218,3012,2837,5848,6582,6693,13280,8722,8718,17440
