source,month,window,rate_per_kwh_usd,import_kwh,import_cost_usd,n_homes_active,fleet_monthly_import_kwh,fleet_monthly_gross_import_usd,fleet_monthly_export_kwh,fleet_monthly_export_credit_usd,fleet_monthly_net_bill_usd
no_vic,2026-02,midday,0.120000,782.015530,93.841864,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-02,shoulder,0.370000,14182.634680,5247.574832,138,19356.003612,7231.663569,58794.648010,5879.464801,1352.198768
no_vic,2026-03,peak_am,0.370000,1391.771639,514.955506,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,peak_pm,0.450000,2694.218245,1212.398210,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,midday,0.120000,1198.669990,143.840399,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-03,shoulder,0.370000,13107.165792,4849.651343,138,18391.825666,6720.845459,48694.803976,4869.480398,1851.365061
no_vic,2026-04,peak_am,0.370000,321.330229,118.892185,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,peak_pm,0.450000,483.785013,217.703256,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,midday,0.120000,186.128415,22.335410,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
no_vic,2026-04,shoulder,0.370000,2264.250156,837.772558,136,3255.493813,1196.703408,13619.651663,1361.965166,-165.261758
