Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2905,18573,18573,76214,69852,0.83,15368,79199,75774,0.13,2352,-2104,-1254,18573,78917,72712,18573,2679,917,0.06,1178,88090,32413,0.06,1134,63534,13416,0.85,15753,20864,17292,19428,181945,87506
2906,11840,11840,78682,72181,0.85,10041,80823,77013,0.13,1531,-3288,-2033,11840,81354,74670,11840,2627,950,0.06,671,65025,24430,0.05,638,38861,10884,0.86,10155,21697,17760,12164,189662,91464
2911,3099,3099,89952,78428,0.85,2619,93323,84929,0.24,743,-6194,-3833,3099,93038,81986,3099,2991,1183,0.08,235,69373,23022,0.07,213,40415,9240,0.85,2648,27227,20425,3072,198065,102635
2912,6198,6198,70641,61720,0.88,5438,72628,67020,0.14,882,-2177,-1746,6198,73051,64426,6198,2376,880,0.1,601,53103,17104,0.09,554,37860,7939,0.83,5163,19194,14519,5956,126000,26780
2913,28097,28097,78471,69253,0.85,23969,80679,75091,0.16,4573,-3401,-1975,28097,81247,72307,28097,2732,969,0.09,2495,58478,23249,0.08,2340,38279,9728,0.84,23668,22423,17459,27588,170633,62150
2914,22042,22042,83340,73488,0.89,19649,85236,78575,0.19,4097,-4574,-2441,22042,86026,76219,22042,2666,1069,0.09,1968,55168,21152,0.08,1830,34486,9240,0.85,18761,24392,19027,21573,162503,63043
3000,38739,38739,56702,36107,0.86,33288,52802,40458,0.07,2832,346,1190,38739,59289,37660,38739,2474,312,0.1,3873,52573,10240,0.07,2864,35768,4285,0.68,26365,19806,8753,30608,91952,7332
3002,3711,3711,145000,78557,0.72,2659,100221,76509,0.17,643,2028,1617,3711,154631,82706,3711,9162,1207,0.13,470,232359,35538,0.12,442,158046,12794,0.84,3101,58321,22160,4117,664538,91859
3003,6727,6727,69393,55461,0.88,5889,70647,60000,0.1,688,-1095,-978,6727,72267,57397,6727,2838,795,0.12,802,46851,13535,0.1,673,28610,5061,0.78,5214,21650,14052,6144,105499,20292
3004,9435,9435,89543,64624,0.76,7212,86782,71248,0.15,1416,-653,-238,9435,95318,68348,9435,5111,1084,0.11,1014,109092,23254,0.1,920,77072,8901,0.8,7524,31340,17772,9358,348478,46446
3006,20145,20145,75640,58169,0.86,17345,74587,63188,0.11,2159,776,-148,20145,78671,61097,20145,2987,907,0.11,2207,49207,12845,0.09,1835,30972,5545,0.79,16003,24146,14486,18015,136468,20530
3008,12107,12107,77894,60656,0.83,10074,80323,68282,0.14,1664,-1422,-159,12107,80931,63610,12107,2992,986,0.08,1028,102093,14093,0.07,865,91460,6138,0.78,9489,25456,16498,10617,145275,25017
3011,17951,17951,68765,56703,0.84,15039,72817,63978,0.11,2010,-2410,-1860,17951,71334,59228,17951,2549,924,0.12,2241,52887,18000,0.11,1970,34835,7754,0.78,14075,20756,14350,17652,103782,37626
3012,18169,18169,74231,62454,0.87,15892,76687,67392,0.13,2451,-2800,-1925,18169,77656,65074,18169,3377,1260,0.13,2281,63570,21927,0.12,2099,43323,8877,0.83,15076,21514,15476,19100,110576,50880
3013,10028,10028,96604,76870,0.87,8679,95433,80602,0.19,1917,-3439,-2076,10028,100925,80340,10028,4270,1426,0.11,1082,72403,26545,0.1,1010,39529,9752,0.85,8573,31195,20985,11128,171550,92338
3015,11831,11831,94643,76439,0.85,10111,95204,81589,0.18,2173,-3802,-2812,11831,98408,79965,11831,3732,1435,0.1,1188,65470,25700,0.09,1123,33299,8761,0.84,9976,30484,21391,12997,188807,104089
3016,10601,10601,105258,71811,0.77,8118,98346,76810,0.22,2316,-2660,-700,10601,109883,75919,10601,4562,1290,0.09,940,124297,31840,0.08,887,80547,10490,0.8,8444,38983,21880,11695,319619,144390
3018,8483,8483,83362,67816,0.8,6817,86795,76360,0.19,1616,-1801,-1267,8483,86835,71272,8483,3438,1223,0.09,727,72942,22396,0.08,668,49342,9184,0.81,6888,26341,18620,9576,207825,101388
3019,6144,6144,57915,50440,0.86,5291,61476,55595,0.12,745,-3946,-2746,6144,60228,52991,6144,2294,898,0.14,833,58603,25421,0.13,775,44039,12054,0.78,4805,15265,11338,6245,59080,20053
3020,26433,26433,57263,50141,0.84,22117,60780,55874,0.12,3197,-2007,-1972,26433,59650,52514,26433,2351,843,0.13,3562,58138,25170,0.12,3289,41044,12058,0.77,20398,15104,11144,27297,80940,26925
3021,28972,28972,50273,45184,0.82,23828,54226,51348,0.09,2710,-1850,-1474,28972,52365,47098,28972,2076,696,0.13,3836,56691,29066,0.12,3564,38889,12916,0.75,21621,12430,9392,30048,70918,20028
3022,2058,2058,58494,51374,0.82,1688,62901,58122,0.13,270,-2562,-2300,2058,60901,53465,2058,2330,785,0.13,276,133890,28238,0.12,251,124440,13352,0.77,1588,15777,11733,2099,93119,35705
3023,37364,37364,63009,54314,0.85,31630,66762,60228,0.15,5786,-4486,-3348,37364,65607,56722,37364,2567,1058,0.11,4154,70002,28990,0.1,3919,50700,13703,0.79,29695,17265,12799,37798,95971,40991
3024,23553,23553,65722,57089,0.88,20715,70796,63443,0.11,2491,-5484,-4062,23553,68477,59913,23553,2737,1302,0.11,2576,42691,20792,0.1,2395,28449,9110,0.81,19171,17850,13496,22880,66345,28149
3025,7496,7496,81615,62464,0.83,6212,79272,70500,0.17,1284,-815,-1519,7496,84788,65617,7496,3092,1185,0.11,795,75290,26000,0.1,741,56369,10671,0.81,6094,26104,16683,7878,122958,63084
3026,3534,3534,64600,54782,0.87,3084,65416,59784,0.15,533,-5105,-4164,3534,67112,57213,3534,2483,1090,0.1,346,71795,24675,0.09,324,55766,11918,0.8,2810,18196,13155,3255,77824,32551
3027,6625,6625,71463,58703,0.85,5601,77438,66652,0.2,1340,-6195,-4879,6625,74414,62000,6625,2835,1190,0.14,939,77066,25508,0.13,863,58901,12051,0.8,5293,21272,15255,6094,74921,29711
3028,16939,16939,64363,57324,0.85,14451,68500,62921,0.13,2205,-2171,-1347,16939,67026,59722,16939,2639,1064,0.1,1750,51583,23289,0.1,1622,34903,11382,0.8,13621,17466,13510,18593,122037,53968
3029,88530,88530,59559,51577,0.83,73712,65296,59376,0.13,11072,-5452,-4272,88530,62134,54249,88530,2556,1063,0.17,15299,47951,25000,0.16,14137,32627,12090,0.78,69341,15958,11899,82314,70346,24892
3030,76627,76627,71126,59270,0.84,64635,75473,66346,0.16,12572,-4837,-3772,76627,74168,62246,76627,3000,1215,0.1,7888,87898,24498,0.1,7288,71527,10648,0.81,61699,20864,14868,77053,107476,41405
3031,12177,12177,84530,67204,0.87,10634,83531,70857,0.14,1668,-2679,-1150,12177,87854,69980,12177,3287,1151,0.12,1465,58885,19963,0.11,1320,29826,8693,0.84,10191,26143,17324,13243,146058,50587
3032,20712,20712,82400,62880,0.84,17336,81593,67826,0.17,3502,-1627,-1078,20712,85992,65906,20712,3554,1138,0.11,2298,71246,22028,0.1,2082,45157,9312,0.81,16828,26296,16474,21754,173227,58308
3033,8939,8939,76971,61648,0.8,7142,78544,68492,0.2,1775,-1463,-881,8939,80241,64501,8939,3232,1116,0.08,742,90350,29162,0.08,715,63312,11986,0.79,7084,24181,16662,9838,175709,90331
3034,7029,7029,74125,59254,0.78,5463,76881,66932,0.23,1596,263,-26,7029,77326,62159,7029,3183,1065,0.09,621,96233,26802,0.09,601,72016,10237,0.79,5579,22695,15569,7674,191642,78953
3036,3843,3843,88730,62962,0.74,2857,80624,68673,0.23,876,-662,-395,3843,92666,65768,3843,3858,1140,0.08,302,89785,31990,0.07,286,62625,12481,0.78,3014,31208,17497,4285,287878,111902
3037,30231,30231,66163,56685,0.85,25839,68862,61981,0.16,4810,-3855,-2954,30231,68951,59361,30231,2756,1171,0.09,2807,80211,29165,0.09,2633,60696,12893,0.81,24544,18201,13551,31391,109859,51891
3038,16564,16564,67401,56341,0.8,13333,70883,63134,0.2,3350,-639,-158,16564,70505,59288,16564,3022,1108,0.08,1384,90501,30028,0.08,1326,68461,12636,0.79,13066,19561,14242,18127,167362,75696
3039,11377,11377,97393,69390,0.83,9396,91073,73898,0.18,2030,-1780,-1161,11377,101285,73001,11377,3836,1251,0.1,1087,89513,24450,0.09,1003,57254,9794,0.83,9446,33075,18718,12117,225079,81877
3040,18608,18608,96507,67311,0.79,14723,87231,70169,0.18,3440,-2017,-1224,18608,100785,71072,18608,4205,1232,0.09,1764,121879,26967,0.09,1628,84717,9520,0.82,15218,33425,18200,19796,264330,93001
3041,8813,8813,90787,66769,0.8,7011,84949,70753,0.19,1706,-1591,-1096,8813,94898,70028,8813,4023,1181,0.08,716,331392,24604,0.08,672,322150,10350,0.81,7164,30654,18088,9388,249424,104893
3042,10557,10557,77391,64747,0.82,8657,79960,71265,0.17,1817,-2191,-1726,10557,80808,67963,10557,3380,1290,0.09,977,95498,27820,0.09,931,72067,11224,0.81,8583,23549,17088,11554,162106,83574
3043,10324,10324,65138,56768,0.82,8438,70186,64341,0.14,1417,-1507,-1330,10324,68116,59263,10324,2949,1128,0.1,983,59020,29618,0.09,918,38774,13566,0.79,8118,18326,14147,11562,137193,65453
3044,18063,18063,79564,66013,0.85,15364,80593,71104,0.17,3083,-1278,-1086,18063,83119,69260,18063,3508,1288,0.11,1930,84997,23210,0.1,1785,64663,9549,0.83,15065,23696,17087,19288,154566,71354
3046,23070,23070,65409,57223,0.84,19396,69574,63431,0.12,2699,-1975,-1868,23070,68054,59780,23070,2604,1060,0.13,3038,54699,22839,0.12,2806,36032,8940,0.8,18543,17922,13412,23153,102754,39443
3047,10463,10463,48371,41755,0.79,8273,52785,49371,0.06,641,-489,-734,10463,50491,43863,10463,2085,610,0.19,1971,56391,27500,0.18,1842,40560,13464,0.72,7502,12202,8873,9982,53009,13889
3048,7900,7900,49012,43214,0.77,6112,54250,51381,0.07,581,-1708,-955,7900,51081,44896,7900,2036,671,0.18,1402,73726,32420,0.17,1322,56579,16406,0.72,5690,12420,9552,7824,58275,16775
3049,5964,5964,67618,58480,0.84,4980,71135,64864,0.14,861,-1981,-1450,5964,70802,61199,5964,3160,1286,0.1,613,68320,32542,0.1,571,48181,14588,0.81,4816,18894,14286,6525,141823,67845
3051,10442,10442,71796,52739,0.85,8927,71417,57793,0.12,1290,-97,141,10442,74699,54976,10442,2843,698,0.12,1221,61646,18236,0.1,1079,32370,7830,0.76,7929,23441,14260,10470,125572,26707
3052,4074,4074,74107,49638,0.82,3349,68188,51769,0.12,508,435,1097,4074,77580,51835,4074,3320,648,0.13,525,63861,18793,0.11,445,34383,7867,0.73,2988,26389,13866,4101,219760,25478
3053,12638,12638,54816,35354,0.84,10630,53170,38237,0.07,923,1987,1362,12638,57063,36851,12638,2228,300,0.12,1465,51989,10742,0.09,1135,36148,5652,0.65,8258,18958,9630,10626,134923,12035
3054,5928,5928,105729,64946,0.77,4588,92906,68121,0.16,949,149,1185,5928,111706,68309,5928,5871,1142,0.15,865,96870,21600,0.13,781,46505,9495,0.82,4872,38639,17240,6648,295177,60514
3055,10133,10133,76775,62667,0.87,8810,76769,66156,0.13,1322,-476,-280,10133,79778,65340,10133,2939,1085,0.12,1233,53459,16878,0.11,1115,30555,7403,0.83,8457,22569,15542,10931,148696,50972
3056,18648,18648,81088,65116,0.87,16241,79395,68069,0.13,2412,288,138,18648,84263,67710,18648,3136,1042,0.14,2527,58355,20116,0.12,2282,29768,7992,0.84,15752,24269,16353,20400,135400,46517
3057,10078,10078,83940,70540,0.89,8925,82225,73181,0.13,1260,-167,-392,10078,87087,73418,10078,3106,1169,0.12,1252,64102,17734,0.11,1140,40308,7462,0.87,8737,24601,17497,10948,123002,48433
3058,22783,22783,77360,62085,0.85,19343,77910,67467,0.15,3403,-371,-210,22783,80360,65057,22783,2971,1102,0.13,2863,86356,22441,0.12,2654,62079,8718,0.83,18803,23151,15803,24735,139721,62667
3059,13810,13810,73670,58222,0.8,11082,73221,65127,0.18,2473,-2466,-1923,13810,76940,61382,13810,3252,1215,0.11,1499,110805,34500,0.1,1427,90058,16889,0.8,11011,22601,15307,13751,144096,54178
3060,7829,7829,59054,48811,0.79,6184,64166,58568,0.12,965,-1730,-778,7829,61500,51238,7829,2412,860,0.17,1343,51501,24219,0.16,1251,35874,11549,0.75,5880,16829,12046,7539,92338,34041
3061,2381,2381,53639,44803,0.72,1724,57032,53253,0.1,239,917,237,2381,55982,46464,2381,2280,643,0.17,411,113221,34086,0.16,384,99742,18238,0.72,1714,15050,10261,2431,76985,22409
3062,86,86,125038,81654,0.72,62,77379,65616,0.12,10,-3444,-3258,86,128163,86456,86,2503,300,0.13,11,138054,56981,0.12,10,117166,26244,0.87,75,44781,21588,87,203217,60039
3063,377,377,75478,53624,0.8,301,73294,61105,0.17,65,-59,-1104,377,79170,57021,377,3328,1072,0.08,29,34686,24036,0.08,29,28595,11996,0.77,291,24586,14388,406,230681,87247
3064,69206,69206,57917,50931,0.83,57437,62840,58375,0.11,7571,-4551,-3604,69206,60416,53340,69206,2476,1044,0.16,11127,54927,27000,0.15,10434,37941,12300,0.78,54184,15160,11630,63873,63762,23998
3065,7351,7351,101517,68972,0.83,6098,92121,72584,0.14,1033,258,488,7351,106165,72542,7351,4558,1184,0.14,1040,509945,27540,0.13,969,493759,11208,0.83,6126,34703,18939,8208,202985,47923
3066,6963,6963,91595,74601,0.87,6055,88416,77556,0.12,839,-1106,-1075,6963,95018,77480,6963,3373,1230,0.13,894,65102,27009,0.12,828,34547,11118,0.86,6005,28114,19512,7521,124423,40399
3067,6992,6992,89350,70745,0.87,6078,85142,74114,0.12,864,-2256,-1363,6992,92983,74066,6992,3600,1190,0.11,772,111027,19766,0.1,695,88505,7725,0.85,5973,27749,18161,7393,151967,45512
3068,13044,13044,106837,72980,0.81,10605,96356,75079,0.17,2156,-452,153,13044,111773,76152,13044,4896,1296,0.14,1844,102855,30872,0.13,1729,52388,11568,0.84,10955,37214,19916,14762,242252,71590
3070,16965,16965,99385,71523,0.84,14275,93012,74379,0.16,2718,102,26,16965,103531,75104,16965,4036,1261,0.14,2351,108374,25245,0.13,2197,71580,8889,0.84,14335,33217,19283,18907,194854,78068
3071,12290,12290,84409,66458,0.86,10524,82518,70102,0.15,1834,-1134,-268,12290,87568,69218,12290,3125,1159,0.13,1633,56263,22682,0.12,1510,28882,8826,0.85,10394,25665,16831,13744,147664,67172
3072,22017,22017,73030,60360,0.85,18660,74821,65292,0.15,3234,-682,-216,22017,75822,62887,22017,2767,1007,0.13,2912,58225,21795,0.12,2682,35921,8844,0.82,18125,21062,14969,23869,126639,54997
3073,30372,30372,67056,57304,0.83,25272,68907,62931,0.13,3966,435,-370,30372,69592,59774,30372,2511,946,0.13,3849,57049,22088,0.12,3591,38411,9089,0.81,24450,18864,13664,32257,110365,48412
3074,10854,10854,55364,48548,0.81,8752,59180,54906,0.13,1362,-266,-540,10854,57691,50558,10854,2301,734,0.13,1379,56880,28566,0.12,1280,38985,12298,0.76,8214,14600,10844,11457,81243,30171
3075,12200,12200,56283,50400,0.81,9931,60758,56923,0.13,1618,55,-483,12200,58585,52544,12200,2282,858,0.13,1626,64176,26378,0.12,1519,45975,11894,0.77,9404,14660,11287,12651,81982,33316
3076,19265,19265,59321,52866,0.83,16049,63613,59034,0.13,2421,-2937,-2364,19265,61820,55322,19265,2491,993,0.13,2437,58075,28680,0.12,2262,40482,12557,0.79,15199,15611,11976,19567,89810,37999
3078,8513,8513,101740,71409,0.82,6981,92490,74122,0.17,1422,-611,614,8513,106289,75330,8513,4498,1277,0.13,1108,115886,24724,0.12,1005,77238,10548,0.84,7139,35041,19259,9293,234415,85838
3079,12046,12046,107814,69147,0.75,9043,94785,73158,0.2,2409,-766,-3,12046,112604,72590,12046,4707,1139,0.11,1285,169182,29377,0.1,1169,117866,11245,0.8,9656,40520,20125,12884,321750,112618
3081,8603,8603,67800,58274,0.84,7190,71804,65266,0.12,1021,-2592,-1650,8603,70579,61144,8603,2758,1038,0.14,1195,60876,24720,0.13,1113,41367,10966,0.8,6889,19234,14644,9321,104272,42076
3082,17402,17402,63006,54610,0.83,14485,66598,60636,0.16,2750,-1075,-814,17402,65732,57254,17402,2706,1002,0.09,1644,59404,28555,0.09,1533,38072,11803,0.8,13891,17107,12900,18964,128249,57676
3083,19770,19770,63209,51903,0.81,15921,66075,58932,0.16,3205,-1237,-827,19770,65829,54408,19770,2593,836,0.11,2233,71257,21343,0.1,2020,52711,8723,0.76,15069,18508,12972,20555,130673,51113
3084,17397,17397,90290,65428,0.77,13377,89230,72926,0.2,3399,-738,-301,17397,94319,68960,17397,3997,1124,0.1,1654,112577,27318,0.09,1574,71174,9400,0.79,13802,31242,18935,18567,267504,106282
3085,8714,8714,78379,62342,0.8,7013,81725,71443,0.17,1496,-1809,-1088,8714,81586,65403,8714,3186,1127,0.09,756,71977,24486,0.08,710,47612,8605,0.79,6899,24769,17219,9341,202640,99725
3086,72,72,85682,68850,0.88,63,73399,64761,0.14,10,7068,4854,72,89222,68856,72,3540,1214,0.14,10,148183,42562,0.17,12,46312,8450,0.81,58,28094,17964,69,210885,75249
3087,5446,5446,74293,63729,0.82,4471,78366,71015,0.16,848,-1462,-2065,5446,77244,66635,5446,2934,1120,0.09,467,80417,27767,0.08,437,55881,10775,0.81,4438,21693,16808,6214,174116,88478
3088,16968,16968,76489,64006,0.8,13632,80031,71697,0.16,2631,-1791,-999,16968,79675,66648,16968,3153,1125,0.09,1544,68402,28121,0.09,1466,41452,10269,0.8,13645,23246,17231,19119,199377,103799
3089,8310,8310,79532,64156,0.84,6963,79257,69135,0.14,1202,-2539,-1966,8310,83210,68243,8310,3660,1344,0.09,745,69887,31006,0.09,708,41869,11683,0.83,6871,24004,17119,9104,207337,98982
3090,1806,1806,100227,67629,0.76,1380,84868,64774,0.23,407,-163,-85,1806,104547,71565,1806,4315,1180,0.08,145,142825,51000,0.08,140,99697,21734,0.83,1496,34929,18661,1871,272171,120834
3091,1132,1132,115753,62658,0.7,797,81190,59790,0.21,241,556,-765,1132,120022,66460,1132,4170,698,0.08,96,118932,35948,0.08,96,100204,12878,0.81,914,45284,18168,1216,289123,111076
3093,2584,2584,99807,64368,0.73,1897,86749,68364,0.18,468,924,95,2584,103904,67962,2584,4082,990,0.09,238,97071,28530,0.08,219,69081,11440,0.79,2043,36431,19276,2807,383578,126433
3094,5672,5672,78601,63160,0.78,4426,82860,71563,0.15,848,-1168,-770,5672,81851,66556,5672,3208,1122,0.1,578,60014,32710,0.1,546,33600,9726,0.79,4469,25008,17724,6432,218235,117951
3095,18474,18474,86420,62900,0.77,14147,86059,70905,0.17,3121,-1571,-1077,18474,90366,66932,18474,3811,1087,0.1,1897,83231,31737,0.1,1790,50352,11039,0.78,14488,29576,18596,20583,267142,126704
3096,1243,1243,74839,56021,0.79,979,73854,62335,0.11,141,143,-297,1243,78396,59298,1243,3527,1174,0.09,115,47461,25766,0.09,112,30823,10348,0.79,977,23815,14798,1371,213761,95801
3097,976,976,98512,56506,0.66,648,84841,63234,0.18,174,1411,770,976,102782,60076,976,4212,828,0.13,130,88334,36593,0.12,118,64163,16569,0.76,739,38623,19175,1091,332038,126221
3099,3104,3104,74630,57271,0.77,2401,74209,63798,0.13,418,-194,-158,3104,78217,60748,3104,3548,1060,0.13,410,81559,29274,0.13,394,58164,14073,0.79,2441,23494,15587,3564,218729,101328
3101,17054,17054,129930,66789,0.69,11736,104164,69511,0.21,3538,-1419,642,17054,136743,71000,17054,6554,1036,0.11,1934,270041,36682,0.1,1752,189934,15164,0.78,13380,54983,20925,17432,433529,107952
3102,4529,4529,102589,62546,0.73,3287,94200,67081,0.22,993,406,531,4529,108524,67145,4529,5773,1050,0.11,516,147318,31874,0.1,462,88958,11380,0.78,3512,39464,19602,4686,304728,114677
3103,10807,10807,96146,51752,0.62,6670,88861,62274,0.25,2704,-1288,437,10807,100991,55573,10807,4551,630,0.1,1045,217538,33150,0.09,963,159146,12780,0.72,7740,40239,17661,10400,388241,90010
3104,14109,14109,92673,54759,0.67,9387,87167,63876,0.26,3709,-1628,-250,14109,97155,58139,14109,4333,702,0.1,1353,254973,33725,0.09,1257,210022,11809,0.74,10434,36663,17770,13712,301144,90835
3105,7150,7150,76981,54816,0.71,5067,78992,63910,0.23,1665,1601,503,7150,80275,57871,7150,3246,784,0.11,760,93583,27259,0.1,706,63820,12234,0.75,5355,26514,15873,7414,212681,76095
3106,11159,11159,92864,53887,0.67,7427,82927,63192,0.25,2774,-325,46,11159,96738,57129,11159,3792,670,0.1,1082,190612,34490,0.09,966,169166,12365,0.74,8287,36767,16239,11357,300244,87463
3107,8913,8913,73930,53308,0.72,6410,79408,65368,0.22,1921,-328,-210,8913,77438,56472,8913,3309,795,0.1,869,77717,32355,0.09,829,45538,12500,0.74,6627,24956,15881,9262,206149,82899
3108,17043,17043,66909,48000,0.69,11829,71993,59685,0.21,3553,637,217,17043,69944,50456,17043,2962,576,0.11,1916,200335,25486,0.1,1718,189844,9790,0.72,12208,22666,13771,16450,179772,45840
3109,19629,19629,66943,48787,0.7,13828,74738,62179,0.23,4473,-654,-266,19629,70065,51353,19629,3030,611,0.11,2063,149069,25161,0.09,1864,132352,9432,0.72,14160,22406,14324,19289,176537,58608
3111,8197,8197,83739,54421,0.71,5792,82382,63706,0.21,1719,-1400,-426,8197,88139,58022,8197,4331,804,0.09,770,96272,27988,0.09,716,65383,10419,0.75,6138,30628,16139,8560,299097,91911
3113,5648,5648,93330,60081,0.73,4111,84984,64033,0.18,1011,-1613,-502,5648,97732,64497,5648,4309,935,0.12,660,96563,36276,0.11,620,59793,11451,0.78,4392,33720,17884,6293,297015,125659
3114,2650,2650,104043,64958,0.7,1868,92207,64556,0.19,505,-937,-889,2650,111780,69002,2650,7652,896,0.09,239,112599,38256,0.08,224,69320,12918,0.78,2064,39639,19967,2852,369882,145670
3115,2656,2656,107275,62638,0.74,1969,84014,64063,0.17,464,-199,-114,2656,115841,66429,2656,8544,962,0.09,234,94132,34666,0.09,226,60726,11584,0.8,2124,40880,17973,2871,310278,126731
3116,7553,7553,70725,58321,0.81,6113,72390,63288,0.13,952,-1297,-1689,7553,74136,60793,7553,3168,937,0.1,728,59630,25928,0.09,697,34656,10165,0.8,6048,20816,14734,8087,181875,77947
3121,22700,22700,102740,76146,0.86,19620,94292,78461,0.14,3275,-1256,-673,22700,108548,79417,22700,5605,1287,0.1,2199,106735,24324,0.09,2014,67639,9238,0.87,19706,33714,19816,24723,188497,55105
3122,17147,17147,126871,67828,0.78,13419,94017,68049,0.15,2507,-2155,319,17147,132972,71476,17147,6018,1068,0.11,1830,153057,26711,0.1,1657,80713,10130,0.81,13847,51359,19299,17679,368225,67559
3123,10825,10825,121640,70253,0.76,8261,96492,73092,0.16,1716,-2621,-412,10825,127310,73901,10825,5606,1125,0.1,1054,236273,26144,0.09,967,183025,9500,0.81,8731,48091,20213,11092,322609,70671
3124,15719,15719,112722,64556,0.69,10862,100641,70164,0.22,3382,-2814,-262,15719,120800,68995,15719,7951,1025,0.1,1597,175854,30000,0.09,1464,113248,11828,0.77,12070,45859,20477,16025,399315,120665
3125,10300,10300,66071,46182,0.77,7949,68858,54829,0.16,1688,-1977,-1076,10300,68879,48484,10300,2760,642,0.12,1253,67251,18819,0.11,1112,49062,6962,0.72,7372,22298,12957,9897,149556,37773
3126,5548,5548,141546,64347,0.62,3423,114808,68405,0.23,1258,-2986,-225,5548,148892,68701,5548,6588,950,0.1,531,372722,42865,0.09,485,298684,15302,0.75,4142,65146,23828,5603,570585,164231
3127,13163,13163,104227,63786,0.72,9439,100317,71633,0.2,2625,-2056,-973,13163,109074,67725,13163,4701,1000,0.09,1235,146229,30600,0.09,1136,97651,9612,0.77,10108,40697,20390,13671,325465,123145
3128,15542,15542,62103,45002,0.76,11761,66865,53988,0.15,2356,-720,60,15542,64784,47036,15542,2583,496,0.11,1709,216538,20909,0.1,1488,218957,6979,0.71,11087,20406,11885,14612,135233,25529
3129,11509,11509,74384,51798,0.75,8656,77936,62038,0.2,2253,-2018,-808,11509,77605,54673,11509,3177,763,0.11,1234,68628,24242,0.1,1109,42306,8750,0.74,8564,25653,14897,11740,183817,64654
3130,21634,21634,78656,56752,0.76,16530,80278,66355,0.18,3945,-2235,-1045,21634,82190,59896,21634,3510,914,0.1,2062,89320,25751,0.09,1844,61789,9506,0.76,16392,26963,16455,22498,212350,84234
3131,14544,14544,69669,55130,0.78,11321,75565,64307,0.18,2597,-1835,-1328,14544,72514,57666,14544,2811,880,0.1,1522,61090,23946,0.09,1381,40179,7893,0.76,11057,21835,14845,15058,161046,69930
3132,11075,11075,75823,60265,0.8,8863,80093,68785,0.18,1979,-2230,-1146,11075,78877,63174,11075,3013,1007,0.1,1130,58982,21578,0.09,1034,34788,8186,0.78,8673,24042,16600,11781,180417,78143
3133,14588,14588,71252,53159,0.73,10682,77536,65272,0.23,3378,-2239,-1338,14588,74242,55866,14588,2946,780,0.09,1375,86672,24638,0.08,1233,63382,10058,0.73,10671,23954,15665,15257,211252,83132
3134,22283,22283,75328,58488,0.8,17900,76481,65012,0.15,3301,-2538,-1438,22283,78537,61296,22283,3159,945,0.09,2088,69645,23464,0.09,1945,44439,8499,0.78,17472,23815,15432,23809,183906,77449
3135,12779,12779,74026,59945,0.81,10347,77074,67556,0.14,1805,-1544,-965,12779,77035,62789,12779,2992,984,0.1,1242,71053,23268,0.09,1158,46382,8732,0.79,10083,22782,16030,14090,183559,85519
3136,28662,28662,70364,58724,0.81,23325,73888,64894,0.13,3676,-2366,-1544,28662,73327,61190,28662,2942,997,0.1,2744,70224,26578,0.09,2603,45462,9997,0.8,22890,20570,14834,31386,162536,78575
3137,9156,9156,67698,58682,0.82,7541,68989,63792,0.1,941,-1175,-741,9156,70603,61355,9156,2894,930,0.1,926,88607,27524,0.09,868,64973,11644,0.82,7487,18676,14259,10168,141257,71318
3138,14225,14225,67683,57886,0.84,11884,70107,62879,0.11,1536,-2945,-2208,14225,70579,60252,14225,2882,983,0.1,1421,63136,27439,0.1,1372,37937,11268,0.81,11584,18771,13927,15690,138807,69134
3139,9095,9095,64085,54367,0.79,7204,64193,58184,0.11,1018,1325,-98,9095,67531,57193,9095,3122,778,0.11,1020,89389,39308,0.11,1003,62042,16955,0.8,7249,17740,12826,10151,152058,70094
3140,11250,11250,68942,58165,0.82,9171,69703,62515,0.11,1246,-799,-734,11250,72002,60810,11250,3020,880,0.09,1041,70786,27207,0.09,974,45497,10846,0.8,9022,19834,14409,12248,153696,74011
3141,19168,19168,120207,70962,0.8,15392,93267,73263,0.13,2549,-1103,-54,19168,126326,74322,19168,5973,1182,0.11,2036,121176,26790,0.1,1849,68921,10636,0.84,16029,45495,18906,20095,309094,42678
3142,9857,9857,241511,79456,0.6,5893,115751,69695,0.19,1847,4744,3185,9857,257192,84832,9857,15259,1262,0.1,1029,662385,46036,0.1,961,567768,17868,0.82,8059,114003,25028,10198,980794,127607
3143,6978,6978,134149,79221,0.74,5134,106717,77817,0.15,1033,-2626,-238,6978,140061,82840,6978,5737,1324,0.11,751,170801,28707,0.1,675,103493,9907,0.83,5821,52204,22819,7484,432495,84110
3144,7996,7996,151134,75639,0.67,5322,116659,71590,0.16,1281,196,945,7996,159007,80208,7996,7758,1333,0.1,824,216307,41910,0.09,758,120588,15842,0.81,6503,63689,24079,8273,571097,144657
