Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2097,10801,10801,105498,65257,0.77,8283,96021,70944,0.2,2214,3799,2416,10801,110964,68897,10801,5409,1004,0.11,1172,84879,33910,0.1,1125,51151,11812,0.81,8732,38934,18635,11533,271187,97844
2099,28952,28952,88748,63450,0.82,23603,86388,68795,0.17,4842,2640,1208,28952,92128,66388,28952,3312,1025,0.12,3481,74372,30000,0.11,3231,45118,11384,0.82,23692,29413,16161,30688,163184,64806
2100,14734,14734,96851,65838,0.8,11802,96586,72016,0.19,2783,4019,1784,14734,100369,68954,14734,3486,991,0.11,1606,80990,33924,0.1,1509,48967,12532,0.81,11950,33935,18219,15874,186496,86015
2101,12985,12985,91399,63033,0.75,9732,88693,69964,0.19,2526,4217,2536,12985,95146,65994,12985,3638,961,0.12,1593,101811,35606,0.12,1513,69842,14075,0.8,10380,31608,17592,14055,238039,92295
2102,5342,5342,94343,65164,0.79,4212,93144,72578,0.19,1039,2025,-102,5342,97797,68386,5342,3424,947,0.1,554,94290,33038,0.1,515,65963,12922,0.8,4262,33248,18963,5649,215627,102485
2103,7533,7533,94986,61432,0.72,5388,89422,67384,0.21,1569,4881,3622,7533,98911,65455,7533,3867,868,0.11,834,102034,38492,0.1,789,64376,14564,0.78,5895,34663,17809,8150,318838,115693
2104,2459,2459,121681,59499,0.61,1506,101525,68138,0.18,434,9664,6820,2459,128393,64672,2459,6552,883,0.09,224,127794,35419,0.09,219,80275,13944,0.75,1845,52323,19961,2612,525182,152955
2105,1429,1429,111948,60843,0.63,895,95705,63028,0.2,291,6703,4118,1429,117118,65007,1429,5110,950,0.14,198,130884,34427,0.13,183,81295,13151,0.77,1094,46020,19042,1585,423397,144897
2106,6862,6862,104777,63096,0.72,4951,93104,66831,0.2,1339,6425,4250,6862,109831,67003,6862,4982,935,0.12,834,109089,33867,0.12,790,77574,12696,0.79,5427,39737,18112,7457,356028,111119
2107,10487,10487,128086,57227,0.67,6998,96044,63102,0.2,2056,8155,5042,10487,132915,61469,10487,4679,844,0.13,1399,103228,37895,0.12,1304,66877,14307,0.76,7984,55644,17859,11499,398203,117445
