Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/02/01,$85.64,N/A,$90.37,N/A,$480.78,N/A,$149.02,N/A,$71.68,N/A
2025/02/02,$66.06,N/A,$69.18,N/A,$110.65,N/A,$137.80,N/A,$77.28,N/A
2025/02/03,$119.16,$131.71,$123.20,$133.99,$343.72,$464.87,$178.21,$206.76,$277.29,$405.73
2025/02/04,$171.98,$208.58,$129.85,$143.23,$76.71,$57.31,$120.17,$128.81,$102.04,$103.46
2025/02/05,$270.07,$365.10,$118.51,$126.93,$38.79,$14.36,$130.15,$130.79,$33.15,$16.00
2025/02/06,$153.72,$162.04,$97.10,$83.57,$112.65,$93.32,$164.90,$171.93,$131.75,$129.24
2025/02/07,$133.65,$118.35,$92.37,$78.30,$79.02,$27.48,$138.71,$126.54,$89.30,$54.19
2025/02/08,$144.76,N/A,$50.22,N/A,-$24.95,N/A,$120.68,N/A,-$1.55,N/A
2025/02/09,$42.94,N/A,$44.89,N/A,-$21.77,N/A,$120.29,N/A,-$23.88,N/A
2025/02/10,$97.20,$102.98,$78.52,$71.99,$26.86,$29.76,$121.00,$120.63,$13.84,$9.98
2025/02/11,$97.93,$97.78,$99.55,$101.71,$141.35,$166.18,$137.00,$145.82,$98.01,$102.14
2025/02/12,$109.70,$107.08,$110.71,$110.19,$467.74,$676.88,$141.36,$152.14,$151.10,$174.08
2025/02/13,$84.48,$81.65,$94.09,$90.52,$12.96,-$15.23,$101.35,$117.19,$65.07,$76.39
2025/02/14,$106.82,$106.23,$103.68,$98.85,$20.50,-$37.42,$111.61,$112.08,$53.85,$23.32
2025/02/15,$58.73,N/A,$79.26,N/A,-$8.34,N/A,$99.19,N/A,-$9.97,N/A
2025/02/16,$40.97,N/A,$54.70,N/A,$17.75,N/A,$108.08,N/A,$28.35,N/A
2025/02/17,$56.64,$34.82,$57.21,$36.11,$66.33,$34.78,$124.18,$125.09,$66.38,$38.21
2025/02/18,$65.42,$39.53,$65.66,$43.36,$37.40,-$20.48,$97.24,$79.94,$50.32,$7.16
2025/02/19,$65.90,$54.28,$69.43,$58.48,-$24.32,-$72.78,$109.59,$104.07,$24.17,$5.60
2025/02/20,$30.73,$9.42,$36.47,$16.35,-$7.25,-$46.23,$130.53,$133.70,$16.26,-$8.67
2025/02/21,$40.07,$27.03,$39.77,$25.44,$39.20,$26.45,$132.53,$132.31,$50.24,$46.46
2025/02/22,$34.75,N/A,$31.63,N/A,$50.76,N/A,$93.43,N/A,$62.85,N/A
2025/02/23,$45.34,N/A,$44.31,N/A,$46.72,N/A,$82.69,N/A,$51.66,N/A
2025/02/24,$61.41,$48.49,$61.61,$48.78,$40.37,$9.79,$81.86,$69.38,$58.94,$45.63
2025/02/25,$64.87,$54.56,$52.47,$34.48,$98.17,$88.59,$115.37,$107.91,$80.62,$67.45
2025/02/26,$65.05,$52.35,$54.83,$38.69,$75.68,$22.52,$117.42,$102.29,$93.37,$62.73
2025/02/27,$110.55,$104.68,$74.80,$55.49,$127.50,$112.71,$135.15,$131.80,$120.38,$109.08
2025/02/28,$104.74,$95.87,$73.08,$49.07,$132.64,$123.62,$107.79,$100.53,$86.97,$68.58
