Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/07/01,$184.20,$211.59,$93.09,$72.91,$538.00,$670.62,$188.78,$205.50,$192.57,$221.69
2025/07/02,$116.15,$118.22,$89.01,$77.12,"$1,998.82","$2,244.10",$178.29,$198.87,$176.43,$201.33
2025/07/03,$147.99,$134.19,$117.30,$93.07,$263.83,$157.43,$182.71,$177.14,$184.79,$184.69
2025/07/04,$140.62,$134.19,$111.52,$94.56,$25.89,$43.28,$147.14,$140.77,$107.74,$100.04
2025/07/05,$96.96,N/A,$60.26,N/A,$2.38,N/A,$89.62,N/A,$20.74,N/A
2025/07/06,$92.04,N/A,$80.94,N/A,$65.50,N/A,$140.60,N/A,$91.50,N/A
2025/07/07,$111.32,$109.01,$82.92,$69.36,$87.43,$74.78,$167.93,$165.46,$104.75,$103.64
2025/07/08,$98.60,$98.11,$80.46,$68.40,$13.67,$18.97,$119.57,$133.60,$26.14,$45.82
2025/07/09,$84.37,$84.96,$85.46,$84.16,$76.14,$99.29,$152.41,$155.03,$53.65,$64.55
2025/07/10,$67.00,$60.78,$58.24,$44.70,$51.31,$53.30,$138.22,$133.54,$48.73,$49.13
2025/07/11,$65.09,$63.32,$52.27,$44.15,$91.47,$100.77,$151.72,$161.98,$62.30,$77.29
2025/07/12,$82.31,N/A,$60.60,N/A,$114.96,N/A,$158.71,N/A,$78.91,N/A
2025/07/13,$59.94,N/A,$60.06,N/A,$12.85,N/A,$105.38,N/A,$4.37,N/A
2025/07/14,$74.42,$71.03,$74.66,$67.60,$152.65,$141.30,$167.54,$170.41,$90.15,$108.09
2025/07/15,$118.12,$134.23,$116.20,$128.50,$143.68,$137.53,$134.25,$130.30,$99.83,$130.58
2025/07/16,$99.88,$104.43,$87.44,$84.66,$107.79,$125.01,$109.27,$129.23,$88.18,$128.59
2025/07/17,$105.05,$110.19,$80.98,$75.31,$91.18,$121.26,$94.66,$100.75,$87.61,$120.22
2025/07/18,$124.57,$133.48,$116.74,$123.46,$136.68,$128.90,$105.91,$112.17,$111.71,$119.73
2025/07/19,$82.78,N/A,$76.20,N/A,$42.29,N/A,$76.34,N/A,$41.21,N/A
2025/07/20,$79.03,N/A,$71.11,N/A,$95.67,N/A,$79.24,N/A,$77.46,N/A
2025/07/21,$66.15,$67.39,$65.59,$67.03,-$17.41,-$27.80,$48.14,$52.83,$11.84,$18.57
2025/07/22,$61.96,$69.36,$67.20,$77.41,$18.74,$24.97,$34.24,$37.04,$10.86,$21.64
2025/07/23,$79.92,$84.86,$83.21,$89.64,$97.29,$118.60,$51.80,$68.07,$70.98,$95.51
2025/07/24,$79.20,$81.02,$69.37,$66.59,$66.20,$63.40,$84.21,$104.92,$62.54,$72.85
2025/07/25,$78.11,$77.14,$55.78,$40.17,$35.69,$52.69,$69.96,$89.83,$45.87,$69.42
2025/07/26,$72.41,N/A,$71.95,N/A,$43.19,N/A,$109.05,N/A,$56.55,N/A
2025/07/27,$50.39,N/A,$42.09,N/A,$26.78,N/A,$76.00,N/A,$36.28,N/A
2025/07/28,$75.16,$75.83,$73.90,$66.31,$159.76,$188.79,$98.94,$111.84,$71.00,$80.83
2025/07/29,$162.24,$175.02,$144.46,$142.32,$221.93,$240.91,$133.02,$151.12,$197.27,$225.11
2025/07/30,$125.66,$129.15,$100.15,$92.16,$173.59,$176.06,$135.36,$137.12,$122.39,$115.78
2025/07/31,$123.71,$130.41,$117.00,$119.65,$175.58,$186.98,$124.40,$127.47,$111.80,$118.63
