Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/01/01,$68.33,$47.22,$144.48,$68.04,-$14.49,-$78.05,$39.13,$13.17,-$21.12,-$83.27
2025/01/02,$57.46,$49.34,$84.05,$60.35,-$2.86,-$35.32,$117.94,$123.92,-$10.45,-$46.06
2025/01/03,$59.29,$50.79,$48.98,$30.62,$62.88,$54.20,$122.79,$124.57,$46.35,$33.92
2025/01/04,$62.30,N/A,$44.19,N/A,$86.67,N/A,$100.40,N/A,$70.35,N/A
2025/01/05,$74.49,N/A,$43.00,N/A,$97.28,N/A,$112.49,N/A,$78.10,N/A
2025/01/06,$87.41,$88.25,$50.29,$30.18,$44.13,$22.41,$94.51,$100.09,$49.36,$36.05
2025/01/07,$66.60,$60.41,$39.77,$18.61,-$12.58,-$31.64,$137.30,$139.68,-$17.89,-$37.43
2025/01/08,$58.78,$55.13,$47.25,$32.10,$44.98,$29.68,$127.42,$122.40,$38.79,$24.37
2025/01/09,$93.12,$96.07,$93.19,$95.01,$119.23,$102.78,$115.43,$116.82,$100.64,$98.63
2025/01/10,$96.93,$87.20,$97.01,$88.57,$98.32,$74.19,$128.95,$129.75,$102.36,$82.16
2025/01/11,$95.12,N/A,$96.80,N/A,$84.63,N/A,$119.27,N/A,$92.88,N/A
2025/01/12,$89.65,N/A,$72.66,N/A,$84.98,N/A,$130.10,N/A,$93.56,N/A
2025/01/13,$119.15,$103.58,$108.77,$91.16,$87.24,$44.94,$135.81,$134.28,$98.77,$69.79
2025/01/14,$131.89,$124.73,$134.56,$128.21,$105.45,$78.30,$146.00,$145.41,$103.39,$80.41
2025/01/15,$277.15,$383.33,$124.69,$123.46,$19.49,-$35.14,$90.24,$75.98,$36.17,-$3.69
2025/01/16,$76.64,$58.21,$103.36,$92.18,$56.46,$18.82,$128.07,$132.55,$49.35,$16.49
2025/01/17,$39.33,$17.66,$63.86,$42.66,$6.48,-$25.74,$101.70,$90.67,$1.28,-$32.77
2025/01/18,$14.57,N/A,$61.20,N/A,$19.97,N/A,$119.81,N/A,$3.34,N/A
2025/01/19,$30.44,N/A,$36.23,N/A,$129.02,N/A,$121.83,N/A,$62.49,N/A
2025/01/20,$71.26,$50.94,$77.29,$58.37,$140.71,$137.65,$155.68,$167.34,$140.33,$145.77
2025/01/21,$98.10,$89.75,$105.89,$98.87,$67.11,$15.73,$148.25,$143.28,$124.44,$111.47
2025/01/22,$248.72,$352.72,"$1,133.47","$1,742.48",-$7.08,-$26.83,$114.79,$111.45,-$14.53,-$37.63
2025/01/23,$57.81,$47.09,$89.66,$62.75,$58.85,$36.01,$134.15,$137.35,$55.25,$43.72
2025/01/24,$77.20,$65.58,$120.51,$129.17,$9.25,-$47.46,$66.87,$36.92,$34.60,-$0.96
2025/01/25,$38.53,N/A,$41.95,N/A,$30.21,N/A,$123.46,N/A,$27.10,N/A
2025/01/26,$39.01,N/A,$43.65,N/A,$55.73,N/A,$117.98,N/A,$29.67,N/A
2025/01/27,$62.38,$62.06,$63.50,$61.28,$2.01,-$9.84,$48.03,$50.49,$36.85,$49.87
2025/01/28,$69.78,$68.32,$79.46,$78.53,-$18.57,-$55.94,$52.27,$39.77,$11.51,-$5.13
2025/01/29,$78.61,$80.10,$89.96,$88.29,-$13.20,-$56.03,$122.60,$124.29,$7.54,-$15.87
2025/01/30,$75.17,$68.10,$102.04,$98.96,$20.52,-$14.88,$121.23,$120.71,$34.61,$9.18
2025/01/31,$68.22,$60.54,$92.63,$85.32,$32.08,$6.60,$128.19,$129.84,$33.67,$11.31
