Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/09/01,$208.86,$232.61,$154.53,$158.32,$230.69,$258.49,$114.51,$127.47,$204.54,$234.09
2025/09/02,$132.68,$88.99,$99.07,$48.24,$72.28,$6.62,$75.28,$41.30,$90.63,$41.32
2025/09/03,$65.13,$44.05,$60.44,$34.11,$58.09,$46.47,$44.93,$57.02,$32.14,$37.09
2025/09/04,$77.73,$70.57,$77.17,$74.32,$106.00,$76.74,$31.14,$40.78,$62.61,$63.56
2025/09/05,$98.54,$73.34,$74.57,$59.62,$70.84,$49.87,$66.73,$80.00,$97.05,$77.49
2025/09/06,$47.15,N/A,$38.48,N/A,$4.52,N/A,$34.50,N/A,$15.06,N/A
2025/09/07,$40.28,N/A,$24.47,N/A,-$11.79,N/A,$29.30,N/A,-$0.38,N/A
2025/09/08,$40.29,$31.90,$34.89,$25.45,$47.76,$42.67,$9.98,$9.91,$32.72,$27.10
2025/09/09,$107.44,$110.99,$64.07,$44.94,$102.45,$104.99,$28.18,$32.89,$105.74,$112.41
2025/09/10,$139.18,$142.67,$63.74,$48.24,$105.73,$87.53,$87.73,$109.70,$132.06,$130.27
2025/09/11,$103.58,$109.95,$49.95,$32.24,$102.24,$106.46,$50.41,$66.59,$99.93,$108.42
2025/09/12,$92.78,$56.29,$62.38,$32.42,$116.21,$87.10,$32.49,$20.25,$109.68,$85.64
2025/09/13,$98.61,N/A,$68.14,N/A,$119.16,N/A,$47.14,N/A,$113.89,N/A
2025/09/14,$40.66,N/A,$37.46,N/A,-$19.76,N/A,$13.72,N/A,-$10.16,N/A
2025/09/15,$40.66,$31.17,$33.35,$21.09,$2.20,$16.87,$12.93,$18.04,$2.51,$5.15
2025/09/16,$54.53,$50.54,$39.92,$27.78,$3.24,$4.56,$10.99,$14.39,$24.17,$37.81
2025/09/17,$64.86,$60.44,$44.21,$35.68,$60.70,$76.65,$20.20,$26.44,$60.23,$76.87
2025/09/18,$58.94,$40.67,$44.67,$27.26,$38.09,$18.88,$8.54,$6.96,$34.81,$18.02
2025/09/19,$50.70,$36.40,$42.23,$29.24,$8.67,-$3.04,$0.59,$0.58,$3.68,$0.73
2025/09/20,$28.55,N/A,$48.37,N/A,$13.46,N/A,-$0.82,N/A,$14.17,N/A
2025/09/21,$33.03,N/A,$33.66,N/A,$17.92,N/A,$0.69,N/A,$19.72,N/A
2025/09/22,$55.60,$44.61,$49.34,$36.10,$50.34,$41.95,$15.90,$22.64,$48.31,$47.25
2025/09/23,$65.61,$44.44,$56.33,$35.11,$81.37,$59.22,$4.29,$4.77,$77.65,$57.36
2025/09/24,$57.75,$36.23,$51.31,$28.81,$77.29,$76.92,$17.57,$22.27,$66.06,$78.57
2025/09/25,$52.87,$36.30,$43.22,$23.67,$46.51,$34.51,$7.73,$7.64,$33.99,$39.06
2025/09/26,$41.17,$15.68,$41.56,$16.38,$25.59,$10.07,$5.47,$5.50,$9.17,$5.22
2025/09/27,$33.42,N/A,$33.87,N/A,$33.90,N/A,-$2.84,N/A,$17.92,N/A
2025/09/28,$65.50,N/A,$48.60,N/A,$68.93,N/A,$26.87,N/A,$61.03,N/A
2025/09/29,$81.68,$61.87,$70.05,$46.24,$59.77,$47.96,$40.00,$43.94,$57.02,$46.52
2025/09/30,$59.54,$45.41,$40.45,$19.49,$35.69,$20.42,$24.74,$35.88,$42.28,$32.82
