Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/04/01,$75.35,$75.60,$80.24,$82.08,$53.78,$52.96,$102.61,$114.68,$46.66,$46.16
2025/04/02,$119.22,$101.01,$125.84,$121.92,$112.43,$81.58,$118.09,$107.55,$107.72,$82.98
2025/04/03,$101.49,$84.55,$118.18,$112.09,$72.22,$36.37,$100.50,$88.26,$65.40,$33.21
2025/04/04,$119.23,$111.21,$115.78,$110.27,$90.54,$75.26,$108.13,$100.53,$82.77,$69.42
2025/04/05,$87.60,N/A,$82.52,N/A,$60.42,N/A,$80.32,N/A,$50.62,N/A
2025/04/06,$74.74,N/A,$73.54,N/A,$58.81,N/A,$87.78,N/A,$45.99,N/A
2025/04/07,$214.06,$254.01,$202.27,$237.67,$110.55,$82.47,$114.80,$107.86,$98.54,$80.82
2025/04/08,$131.64,$102.52,$118.07,$83.32,$135.70,$113.47,$150.62,$144.99,$132.94,$112.90
2025/04/09,$311.08,$410.74,$267.60,$347.34,$176.71,$196.32,$139.57,$137.34,$144.14,$146.58
2025/04/10,$117.51,$121.67,$104.00,$101.38,$91.36,$84.37,$102.87,$89.79,$77.08,$63.73
2025/04/11,$95.75,$78.47,$88.12,$69.74,$103.52,$90.28,$115.28,$107.09,$96.85,$85.84
2025/04/12,$91.09,N/A,$85.29,N/A,$90.61,N/A,$100.91,N/A,$83.37,N/A
2025/04/13,$72.57,N/A,$67.83,N/A,$52.75,N/A,$69.60,N/A,$40.17,N/A
2025/04/14,$87.12,$71.49,$80.51,$64.58,$120.43,$83.94,$105.55,$96.53,$76.78,$59.38
2025/04/15,$94.98,$95.60,$89.46,$87.32,$112.48,$115.33,$110.11,$116.07,$87.42,$90.21
2025/04/16,$113.09,$105.86,$93.89,$76.36,$122.32,$108.67,$120.97,$124.94,$94.58,$91.96
2025/04/17,$136.30,$118.60,$117.57,$91.70,$139.48,$122.19,$117.23,$113.39,$124.35,$115.48
2025/04/18,$93.43,$58.84,$92.46,$60.80,$82.19,$47.56,$86.05,$64.41,$75.07,$46.36
2025/04/19,$72.79,N/A,$74.27,N/A,$19.80,N/A,$68.20,N/A,$32.02,N/A
2025/04/20,$49.57,N/A,$56.34,N/A,-$2.89,N/A,$51.12,N/A,$1.53,N/A
2025/04/21,$52.36,$35.49,$65.53,$54.06,$28.27,$12.78,$66.54,$52.02,$29.30,$12.72
2025/04/22,$68.93,$60.57,$62.47,$46.62,$16.79,-$10.48,$78.38,$68.03,$43.18,$37.27
2025/04/23,$67.15,$64.60,$69.08,$63.97,$48.09,$55.51,$78.54,$67.31,$43.68,$51.36
2025/04/24,$76.07,$66.19,$79.11,$68.92,$94.21,$57.38,$83.74,$63.54,$55.40,$37.72
2025/04/25,$88.34,$72.85,$86.14,$72.25,$123.41,$106.95,$104.78,$97.85,$84.96,$70.60
2025/04/26,$105.93,N/A,$103.55,N/A,$106.75,N/A,$114.93,N/A,$97.94,N/A
2025/04/27,$116.93,N/A,$83.72,N/A,$93.98,N/A,$116.10,N/A,$80.68,N/A
2025/04/28,$107.57,$105.01,$86.39,$73.65,$143.63,$120.76,$121.23,$120.72,$106.89,$107.58
2025/04/29,$88.70,$72.55,$91.81,$75.75,$147.61,$129.84,$105.66,$97.90,$81.19,$67.19
2025/04/30,$91.37,$93.00,$93.29,$91.79,$58.74,$41.80,$95.80,$85.32,$55.43,$40.51
