Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/06/01,$93.93,N/A,$65.54,N/A,$79.76,N/A,$105.12,N/A,$67.54,N/A
2025/06/02,$133.05,$148.77,$105.95,$114.26,$148.90,$158.45,$128.38,$140.45,$111.93,$139.79
2025/06/03,$115.67,$115.95,$88.61,$78.61,$114.05,$111.30,$134.36,$129.44,$110.40,$112.16
2025/06/04,$124.17,$137.90,$84.38,$75.95,$113.82,$131.09,$153.52,$167.64,$131.62,$154.59
2025/06/05,$120.35,$121.82,$96.62,$88.26,$107.82,$122.50,$151.22,$156.46,$116.07,$129.39
2025/06/06,$107.17,$112.32,$97.26,$95.99,-$14.49,-$10.81,$112.97,$140.44,$68.88,$99.37
2025/06/07,$50.91,N/A,$50.09,N/A,$67.90,N/A,$93.32,N/A,$63.94,N/A
2025/06/08,$47.62,N/A,$43.74,N/A,$53.69,N/A,$107.29,N/A,$62.23,N/A
2025/06/09,$86.89,$99.79,$58.75,$54.24,$105.63,$120.92,$134.18,$151.98,$112.30,$136.44
2025/06/10,$132.27,$147.27,$105.26,$106.48,$184.35,$199.15,$184.17,$196.06,$191.65,$210.10
2025/06/11,$527.06,$745.97,$492.49,$697.21,$577.11,$800.59,$470.06,$634.39,$603.90,$848.35
2025/06/12,"$1,693.97","$2,577.36","$1,546.60","$2,347.37","$1,636.06","$2,496.59","$1,388.55","$2,087.62","$1,786.27","$2,724.56"
2025/06/13,$210.16,$192.63,$161.83,$122.28,$257.67,$263.99,$222.42,$226.45,$253.88,$265.45
2025/06/14,$92.44,N/A,$84.00,N/A,$86.23,N/A,$119.50,N/A,$84.98,N/A
2025/06/15,$116.94,N/A,$90.06,N/A,$159.34,N/A,$147.95,N/A,$135.28,N/A
2025/06/16,$120.53,$125.86,$124.57,$127.23,$42.19,$56.14,$91.23,$108.26,$68.62,$95.07
2025/06/17,$136.71,$156.29,$150.19,$177.59,$149.93,$169.97,$124.84,$146.52,$118.56,$152.49
2025/06/18,$267.98,$341.60,$185.39,$217.76,$311.82,$380.32,$168.24,$175.42,$316.65,$416.01
2025/06/19,$148.32,$155.27,$104.85,$94.75,$157.77,$174.14,$169.10,$178.09,$162.43,$186.52
2025/06/20,$140.09,$142.62,$120.23,$118.92,$143.67,$147.45,$150.00,$153.24,$138.56,$147.17
2025/06/21,$99.86,N/A,$90.49,N/A,$100.05,N/A,$123.52,N/A,$102.10,N/A
2025/06/22,$80.99,N/A,$72.69,N/A,$16.49,N/A,$83.67,N/A,$39.21,N/A
2025/06/23,$78.99,$85.29,$78.76,$84.77,-$14.27,-$14.31,$45.73,$55.15,$10.99,$22.55
2025/06/24,$72.11,$74.28,$74.16,$76.02,$9.93,$23.68,$60.74,$84.40,$37.94,$66.04
2025/06/25,$83.54,$91.47,$64.23,$61.48,$48.32,$47.47,$128.16,$154.79,$87.25,$111.22
2025/06/26,"$1,950.53","$3,009.37",$156.53,$168.97,"$1,970.23","$2,976.96",$914.65,"$1,300.91","$2,048.91","$3,110.31"
2025/06/27,$256.67,$294.83,$128.33,$123.67,$313.51,$353.23,$258.80,$277.68,$315.31,$363.48
2025/06/28,$174.99,N/A,$147.39,N/A,$199.91,N/A,$206.46,N/A,$192.41,N/A
2025/06/29,$193.98,N/A,$186.07,N/A,$187.60,N/A,$200.19,N/A,$188.21,N/A
2025/06/30,$228.25,$251.38,$225.11,$254.71,$197.15,$203.09,$201.88,$214.21,$210.04,$227.32
