Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/08/01,$153.39,$147.55,$151.69,$145.86,$169.11,$146.13,$141.75,$148.42,$152.74,$142.52
2025/08/02,$115.41,N/A,$99.97,N/A,$157.36,N/A,$123.51,N/A,$108.55,N/A
2025/08/03,$60.49,N/A,$62.55,N/A,$40.38,N/A,$97.74,N/A,$44.63,N/A
2025/08/04,$86.36,$85.37,$82.42,$70.95,-$0.06,$4.96,$89.74,$92.69,$18.95,$25.65
2025/08/05,$68.14,$54.85,$72.98,$49.79,$49.22,$69.45,$118.78,$130.97,$31.84,$48.81
2025/08/06,$119.23,$118.78,$84.71,$71.33,$131.01,$132.37,$136.21,$143.05,$104.15,$129.64
2025/08/07,$161.74,$158.28,$114.11,$96.61,$163.56,$160.88,$155.17,$153.67,$183.61,$183.56
2025/08/08,$102.97,$112.10,$90.86,$98.55,$93.79,$95.78,$156.46,$155.41,$107.10,$110.89
2025/08/09,$78.40,N/A,$74.57,N/A,$91.41,N/A,$145.18,N/A,$86.36,N/A
2025/08/10,$76.94,N/A,$55.79,N/A,$162.30,N/A,$140.33,N/A,$88.97,N/A
2025/08/11,$90.12,$92.90,$55.46,$42.67,$80.83,$85.17,$139.39,$135.12,$83.75,$86.18
2025/08/12,$104.94,$107.80,$85.35,$80.88,$129.11,$140.35,$148.18,$151.65,$128.04,$150.05
2025/08/13,$141.75,$138.64,$96.96,$78.07,$169.15,$150.49,$152.54,$147.43,$171.92,$157.56
2025/08/14,$120.55,$110.44,$77.60,$46.66,$53.50,$15.50,$131.57,$118.83,$85.13,$56.12
2025/08/15,$80.79,$74.20,$62.70,$42.57,$19.32,$27.80,$115.58,$121.77,$56.38,$78.92
2025/08/16,$75.30,N/A,$65.27,N/A,$82.28,N/A,$143.79,N/A,$84.81,N/A
2025/08/17,$94.08,N/A,$72.79,N/A,$86.43,N/A,$156.33,N/A,$116.84,N/A
2025/08/18,$227.19,$262.70,$117.59,$91.49,$176.18,$186.62,$211.22,$242.53,$233.90,$275.33
2025/08/19,$185.27,$222.22,$119.11,$129.94,$171.92,$181.70,$195.58,$214.90,$207.89,$225.00
2025/08/20,$124.87,$133.84,$102.59,$105.47,$79.31,$63.81,$153.28,$149.75,$118.23,$113.02
2025/08/21,$138.38,$162.64,$124.87,$142.51,$79.83,$87.30,$144.09,$149.47,$119.04,$136.42
2025/08/22,$119.13,$117.78,$82.61,$65.54,$70.78,$75.59,$138.93,$149.70,$81.98,$94.50
2025/08/23,$94.00,N/A,$58.04,N/A,$106.87,N/A,$152.29,N/A,$106.70,N/A
2025/08/24,$93.55,N/A,$61.35,N/A,$84.71,N/A,$150.38,N/A,$88.89,N/A
2025/08/25,$80.25,$70.84,$60.47,$42.01,$69.61,$75.96,$127.30,$124.22,$67.05,$64.81
2025/08/26,$62.82,$55.60,$55.77,$41.61,$19.36,$30.26,$68.97,$77.84,$48.09,$70.51
2025/08/27,$57.94,$52.31,$45.82,$28.72,-$0.76,$5.96,$62.31,$69.57,$24.36,$34.67
2025/08/28,$54.39,$36.33,$51.65,$30.57,$16.83,$27.47,$47.72,$50.99,$21.45,$32.45
2025/08/29,$56.63,$40.41,$53.10,$26.75,$8.05,$13.07,$61.37,$74.08,$26.80,$39.08
2025/08/30,$42.53,N/A,$32.72,N/A,$29.49,N/A,$31.95,N/A,$25.95,N/A
2025/08/31,$71.18,N/A,$52.86,N/A,$101.87,N/A,$44.30,N/A,$64.72,N/A
