Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/05/01,$74.68,$65.49,$74.21,$63.51,$86.41,$80.39,$112.24,$108.30,$85.66,$80.69
2025/05/02,$100.31,$98.31,$94.30,$90.84,$94.81,$91.76,$121.43,$119.58,$103.87,$102.26
2025/05/03,$49.12,N/A,$49.72,N/A,$7.27,N/A,$49.71,N/A,$11.73,N/A
2025/05/04,$53.31,N/A,$51.19,N/A,-$11.54,N/A,$31.71,N/A,-$8.66,N/A
2025/05/05,$76.95,$76.84,$74.22,$73.47,-$32.53,-$41.71,$19.77,$27.43,-$9.32,-$6.22
2025/05/06,$65.02,$57.57,$66.00,$58.64,-$5.00,-$10.66,$25.10,$35.81,-$3.44,-$5.90
2025/05/07,$51.15,$38.39,$55.33,$42.83,$12.33,$0.64,$39.91,$43.80,$7.07,-$2.02
2025/05/08,$85.59,$82.69,$77.68,$66.85,$78.02,$78.39,$98.42,$91.62,$76.97,$80.21
2025/05/09,$98.75,$95.80,$94.47,$89.98,$101.62,$106.80,$118.89,$121.42,$103.90,$108.40
2025/05/10,$75.64,N/A,$72.50,N/A,$86.32,N/A,$125.96,N/A,$88.01,N/A
2025/05/11,$83.22,N/A,$78.21,N/A,$85.91,N/A,$105.52,N/A,$72.45,N/A
2025/05/12,$114.87,$109.25,$107.11,$101.43,$121.14,$111.58,$141.35,$133.70,$117.16,$110.41
2025/05/13,$545.45,$796.99,$112.91,$110.75,$113.91,$102.45,$136.66,$128.27,$109.65,$101.46
2025/05/14,$253.19,$334.64,$199.32,$253.01,$129.29,$114.83,$135.63,$134.32,$114.94,$117.41
2025/05/15,$147.71,$158.04,$145.88,$156.30,$148.53,$152.88,$147.11,$150.57,$138.77,$144.91
2025/05/16,$202.85,$236.20,$195.49,$227.63,$152.82,$149.29,$151.21,$152.94,$139.51,$137.58
2025/05/17,$117.77,N/A,$108.42,N/A,$101.23,N/A,$129.95,N/A,$86.93,N/A
2025/05/18,$152.39,N/A,$81.11,N/A,$55.87,N/A,$87.69,N/A,$42.44,N/A
2025/05/19,$106.89,$120.88,$101.88,$113.75,$114.24,$134.52,$127.27,$124.92,$98.86,$113.41
2025/05/20,$103.40,$111.15,$102.45,$108.64,$142.31,$158.27,$130.93,$134.87,$129.67,$142.28
2025/05/21,$129.66,$138.73,$124.57,$130.07,$191.70,$192.57,$185.46,$196.73,$178.56,$185.12
2025/05/22,$127.20,$125.63,$110.19,$99.35,$147.03,$139.55,$152.15,$148.77,$136.07,$133.19
2025/05/23,$119.50,$119.61,$106.09,$98.97,$145.46,$139.33,$140.89,$141.35,$131.83,$139.07
2025/05/24,$41.10,N/A,$54.61,N/A,$26.78,N/A,$41.08,N/A,$8.28,N/A
2025/05/25,$60.99,N/A,$63.74,N/A,$47.28,N/A,$57.93,N/A,$18.23,N/A
2025/05/26,$81.82,$87.50,$83.43,$87.25,-$14.81,-$15.16,$41.67,$53.41,-$3.38,$2.36
2025/05/27,$56.67,$58.66,$67.87,$72.52,$18.70,$24.56,$62.94,$75.48,$32.83,$49.52
2025/05/28,$249.90,$357.39,$56.58,$46.55,$102.87,$115.24,$90.59,$107.49,$73.15,$94.10
2025/05/29,$132.27,$156.97,$127.65,$152.30,$95.61,$103.27,$116.97,$121.33,$96.05,$104.34
2025/05/30,$125.04,$134.82,$119.77,$130.44,$111.09,$122.21,$136.24,$138.62,$116.42,$128.29
2025/05/31,$131.10,N/A,$107.58,N/A,$127.95,N/A,$142.70,N/A,$125.25,N/A
