Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/12/01,$41.90,$31.64,$44.77,$34.17,$9.04,$2.57,$63.33,$61.20,$13.28,$10.14
2025/12/02,$39.42,$16.69,$37.52,$16.43,$86.30,$47.54,$65.10,$58.28,$58.62,$33.70
2025/12/03,$46.83,$27.07,$47.10,$32.16,$66.82,$26.49,$59.22,$55.85,$43.12,$21.16
2025/12/04,$58.14,$41.77,$53.07,$38.07,$30.57,$32.16,$62.36,$63.65,$28.78,$31.43
2025/12/05,$75.24,$71.72,$44.29,$27.57,$78.93,$45.75,$89.86,$84.85,$77.79,$51.23
2025/12/06,$48.86,N/A,$54.73,N/A,$18.78,N/A,$75.95,N/A,$24.12,N/A
2025/12/07,$49.22,N/A,$47.07,N/A,-$4.18,N/A,$55.88,N/A,$9.98,N/A
2025/12/08,$49.66,$36.72,$48.11,$36.23,$120.73,$9.44,$66.20,$60.13,$24.97,$11.43
2025/12/09,$77.64,$69.01,$67.67,$56.20,$51.00,$15.14,$64.60,$58.99,$43.07,$21.23
2025/12/10,$75.68,$64.76,$72.40,$61.60,$53.06,$38.28,$90.45,$85.43,$53.14,$42.72
2025/12/11,$57.17,$43.86,$56.85,$43.37,$26.95,$16.94,$73.81,$64.81,$18.89,$11.93
2025/12/12,$69.30,$64.66,$66.76,$62.08,$67.07,$69.63,$77.56,$76.46,$59.72,$61.49
2025/12/13,$66.66,N/A,$50.81,N/A,$40.52,N/A,$84.88,N/A,$61.20,N/A
2025/12/14,$43.87,N/A,$45.92,N/A,$3.25,N/A,$49.82,N/A,-$2.36,N/A
2025/12/15,$70.43,$65.32,$96.75,$105.40,-$42.27,-$98.02,$67.47,$61.39,$18.43,$3.58
2025/12/16,$69.70,$69.28,$74.31,$75.78,$6.74,-$28.38,$75.08,$71.00,$36.19,$20.89
2025/12/17,$86.70,$81.51,$59.27,$50.70,$83.59,$62.31,$93.93,$97.28,$85.87,$78.48
2025/12/18,$306.23,$411.28,$57.53,$37.02,$101.13,$82.83,$101.05,$104.58,$111.43,$103.72
2025/12/19,$316.21,$441.09,$55.98,$37.67,$63.88,$39.30,$85.94,$85.56,$104.53,$107.24
2025/12/20,$88.83,N/A,$68.07,N/A,$53.65,N/A,$79.45,N/A,$67.96,N/A
2025/12/21,$73.33,N/A,$62.72,N/A,$22.12,N/A,$85.60,N/A,$39.91,N/A
2025/12/22,$78.38,$62.60,$90.81,$81.07,$0.97,-$47.07,$61.09,$59.02,$25.77,$12.92
2025/12/23,$65.94,$40.55,$101.16,$84.12,-$4.56,-$38.96,$20.51,$12.51,-$18.98,-$37.09
2025/12/24,$53.93,$41.34,$79.59,$76.81,-$13.38,-$33.04,$18.10,$12.39,-$15.16,-$28.03
2025/12/25,$33.81,$18.69,$38.04,$24.96,-$83.76,-$129.54,$7.12,-$1.26,-$57.77,-$88.03
2025/12/26,$39.63,$32.15,$38.28,$29.73,-$72.95,-$113.49,$4.61,-$4.99,-$39.69,-$59.03
2025/12/27,$11.21,N/A,$11.74,N/A,-$18.59,N/A,$16.89,N/A,-$31.17,N/A
2025/12/28,$18.03,N/A,$17.88,N/A,$97.53,N/A,$32.96,N/A,$0.91,N/A
2025/12/29,$23.56,$14.99,$21.98,$14.39,$53.80,$71.22,$34.39,$33.42,$26.04,$30.39
2025/12/30,$34.44,$18.04,$32.36,$18.38,$14.29,-$1.07,$40.87,$42.81,$10.68,-$3.40
2025/12/31,$42.19,$34.38,$42.09,$35.09,-$45.44,-$70.90,$35.39,$35.22,-$26.56,-$39.83
