Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/03/01,$86.14,N/A,$61.43,N/A,$81.71,N/A,$98.04,N/A,$70.09,N/A
2025/03/02,$45.29,N/A,$36.61,N/A,-$5.32,N/A,$91.13,N/A,$23.59,N/A
2025/03/03,$68.82,$67.07,$66.94,$60.19,-$8.18,-$36.38,$129.86,$132.42,$12.32,-$0.38
2025/03/04,$83.72,$77.63,$84.69,$76.72,$58.20,$50.20,$101.85,$83.15,$57.96,$56.13
2025/03/05,$88.34,$80.15,$88.05,$79.72,$39.01,$6.82,$88.38,$71.63,$57.30,$40.65
2025/03/06,$66.22,$48.90,$67.95,$50.65,-$5.13,-$16.87,$48.83,$39.50,-$1.08,-$10.99
2025/03/07,$46.35,$30.81,$47.99,$31.08,$43.24,$50.60,$118.15,$134.88,$40.73,$47.65
2025/03/08,$37.35,N/A,$36.20,N/A,$46.31,N/A,$102.20,N/A,$44.49,N/A
2025/03/09,$48.06,N/A,$48.13,N/A,$153.88,N/A,$111.77,N/A,$76.99,N/A
2025/03/10,$74.99,$74.90,$76.46,$76.86,$97.99,$115.25,$119.70,$124.18,$88.37,$105.07
2025/03/11,$82.02,$72.66,$73.02,$64.31,$124.49,$131.86,$111.80,$116.96,$99.14,$101.91
2025/03/12,$93.60,$96.62,$86.06,$85.59,$89.93,$88.64,$118.54,$119.53,$89.81,$93.21
2025/03/13,$161.72,$181.70,$131.99,$148.97,$113.91,$100.22,$119.96,$114.00,$104.88,$93.77
2025/03/14,$112.01,$99.40,$81.50,$56.88,$118.19,$103.64,$119.07,$113.96,$107.90,$93.92
2025/03/15,$392.13,N/A,$67.96,N/A,$90.87,N/A,$112.62,N/A,$84.89,N/A
2025/03/16,$54.67,N/A,$42.87,N/A,-$1.96,N/A,$47.53,N/A,$13.11,N/A
2025/03/17,$52.23,$29.33,$54.12,$32.93,-$3.41,-$35.67,$97.13,$88.74,$43.45,$38.38
2025/03/18,$77.78,$70.10,$78.88,$71.69,$94.10,$85.27,$109.99,$108.44,$89.33,$81.58
2025/03/19,$105.55,$108.42,$101.97,$105.19,$113.83,$101.59,$112.86,$103.39,$107.83,$100.39
2025/03/20,$95.05,$99.37,$91.37,$93.93,$78.93,$91.44,$96.51,$109.03,$73.12,$85.76
2025/03/21,$124.14,$118.40,$109.01,$96.24,$116.94,$92.72,$123.33,$113.12,$112.01,$93.60
2025/03/22,$107.60,N/A,$104.58,N/A,$73.99,N/A,$94.81,N/A,$74.23,N/A
2025/03/23,$84.65,N/A,$91.68,N/A,$57.90,N/A,$114.17,N/A,$54.77,N/A
2025/03/24,$97.46,$94.73,$100.88,$99.25,$36.36,$4.54,$99.13,$87.37,$61.99,$44.44
2025/03/25,$89.55,$93.54,$94.22,$99.57,$49.05,$34.40,$109.50,$105.23,$64.42,$58.77
2025/03/26,$73.88,$63.70,$88.12,$86.77,$60.14,$46.97,$112.55,$110.23,$57.21,$46.17
2025/03/27,$76.27,$82.76,$81.71,$90.16,$53.51,$57.58,$78.96,$73.79,$50.75,$55.52
2025/03/28,$89.84,$97.98,$96.21,$107.64,$108.99,$97.86,$121.68,$118.58,$109.42,$100.61
2025/03/29,$77.39,N/A,$84.63,N/A,$53.68,N/A,$104.61,N/A,$58.64,N/A
2025/03/30,$39.77,N/A,$85.86,N/A,-$9.89,N/A,$43.76,N/A,-$8.31,N/A
2025/03/31,$56.17,$43.07,$88.35,$84.22,-$5.85,-$9.67,$42.95,$46.96,-$5.23,-$7.20
