Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/11/01,$69.83,N/A,$46.19,N/A,$42.62,N/A,$69.19,N/A,$46.96,N/A
2025/11/02,$61.45,N/A,$54.69,N/A,$14.20,N/A,$31.98,N/A,$13.47,N/A
2025/11/03,$106.22,$110.35,$93.32,$94.17,$53.18,$35.43,$91.53,$92.43,$72.40,$64.55
2025/11/04,$63.26,$27.35,$80.55,$49.60,$28.02,-$8.71,$65.45,$48.78,$29.40,-$9.42
2025/11/05,$44.52,$33.28,$39.22,$25.71,$40.60,$44.14,$33.78,$33.45,$25.95,$23.97
2025/11/06,$83.21,$57.34,$58.27,$40.53,$59.81,$30.99,$55.25,$45.69,$67.05,$42.33
2025/11/07,$71.67,$57.11,$46.68,$35.34,$9.60,-$7.66,$62.07,$61.26,$15.43,$5.41
2025/11/08,$45.46,N/A,$33.74,N/A,-$0.20,N/A,$22.38,N/A,-$1.07,N/A
2025/11/09,$67.55,N/A,$99.60,N/A,$36.21,N/A,$21.77,N/A,$31.27,N/A
2025/11/10,$81.50,$48.51,$89.18,$61.23,$42.17,-$12.40,$45.81,$25.85,$74.48,$46.63
2025/11/11,$43.22,$22.76,$44.43,$27.77,$41.35,$19.99,$31.44,$27.38,$39.77,$21.01
2025/11/12,$48.97,$28.01,$52.50,$34.85,$57.16,$29.44,$20.65,$20.70,$28.13,$22.06
2025/11/13,$42.38,$22.35,$41.56,$22.27,$40.04,$43.30,$18.47,$15.92,$23.24,$15.12
2025/11/14,$67.28,$42.24,$74.74,$58.47,$61.99,$33.56,$55.10,$45.11,$57.99,$30.40
2025/11/15,$61.78,N/A,$59.17,N/A,$70.68,N/A,$40.57,N/A,$51.44,N/A
2025/11/16,$53.03,N/A,$79.09,N/A,-$0.02,N/A,$9.53,N/A,-$0.91,N/A
2025/11/17,$37.13,$26.85,$36.57,$24.30,-$5.81,-$8.00,$4.10,$5.04,-$6.42,-$8.69
2025/11/18,$54.58,$36.81,$50.98,$32.63,$32.90,-$13.75,$12.30,$10.76,$16.30,$2.68
2025/11/19,$69.73,$65.83,$58.06,$52.98,$30.44,$1.06,$20.22,$17.09,$24.62,-$2.15
2025/11/20,$109.71,$128.51,$43.19,$28.18,$17.39,-$12.25,$27.02,$14.52,$22.76,-$1.25
2025/11/21,$87.91,$112.17,$31.99,$23.00,-$10.32,-$17.70,$33.53,$23.41,-$4.29,-$14.57
2025/11/22,$66.02,N/A,$54.84,N/A,$54.75,N/A,$44.73,N/A,$75.26,N/A
2025/11/23,$83.90,N/A,$84.41,N/A,$68.80,N/A,$63.76,N/A,$73.34,N/A
2025/11/24,$57.55,$36.54,$61.85,$42.78,$33.74,$5.13,$50.68,$47.41,$29.51,$2.96
2025/11/25,$175.82,$241.40,$66.73,$66.67,$19.56,$5.69,$32.77,$33.02,$19.27,$7.88
2025/11/26,$327.02,$488.24,$87.26,$92.38,-$7.06,-$25.02,$32.75,$33.40,-$7.72,-$23.79
2025/11/27,$62.34,$42.49,$100.50,$95.73,$36.03,$24.86,$37.57,$34.58,$31.19,$20.19
2025/11/28,$80.80,$52.41,$90.07,$67.00,$82.26,$35.52,$55.41,$50.77,$67.13,$36.83
2025/11/29,$49.91,N/A,$86.12,N/A,$31.02,N/A,$62.79,N/A,$33.33,N/A
2025/11/30,$34.14,N/A,$46.16,N/A,-$6.63,N/A,$62.73,N/A,$8.32,N/A
